End_Date,ISBN,Title,Author,Interval,Volume,Value,ASP,RRP,Binding,Imprint,Publisher_Group,Product_Class,Category
2012-07-07,9780722532935,The Alchemist,"Coelho, Paulo",201227,423,2963.77,7.0065,9.99,Paperback,Thorsons,HarperCollins Grp,F1.1 General & Literary Fiction,F Adult Fiction
2012-07-07,9780241003008,The Very Hungry Caterpillar,"Carle, Eric",201227,678,3688.75,5.4406,7.99,Hardback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational"
2012-07-14,9780241003008,The Very Hungry Caterpillar,"Carle, Eric",201228,685,3831.58,5.5935,7.99,Hardback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational"
2012-07-14,9780722532935,The Alchemist,"Coelho, Paulo",201228,480,3310.59,6.8971,9.99,Paperback,Thorsons,HarperCollins Grp,F1.1 General & Literary Fiction,F Adult Fiction
2012-07-21,9780241003008,The Very Hungry Caterpillar,"Carle, Eric",201229,634,3547.3,5.5951,7.99,Hardback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational"
2012-07-21,9780722532935,The Alchemist,"Coelho, Paulo",201229,504,3536.36,7.0166,9.99,Paperback,Thorsons,HarperCollins Grp,F1.1 General & Literary Fiction,F Adult Fiction
2012-07-28,9780241003008,The Very Hungry Caterpillar,"Carle, Eric",201230,556,3056.95,5.4981,7.99,Hardback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational"
2012-07-28,9780722532935,The Alchemist,"Coelho, Paulo",201230,436,3139.58,7.2009,9.99,Paperback,Thorsons,HarperCollins Grp,F1.1 General & Literary Fiction,F Adult Fiction
2012-08-04,9780722532935,The Alchemist,"Coelho, Paulo",201231,435,3050.87,7.0135,9.99,Paperback,Thorsons,HarperCollins Grp,F1.1 General & Literary Fiction,F Adult Fiction
2012-08-04,9780241003008,The Very Hungry Caterpillar,"Carle, Eric",201231,630,3516.99,5.5825,7.99,Hardback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational"
2012-08-11,9780722532935,The Alchemist,"Coelho, Paulo",201232,493,3424.49,6.9462,9.99,Paperback,Thorsons,HarperCollins Grp,F1.1 General & Literary Fiction,F Adult Fiction
2012-08-11,9780241003008,The Very Hungry Caterpillar,"Carle, Eric",201232,641,3621.72,5.6501,7.99,Hardback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational"
2012-08-18,9780241003008,The Very Hungry Caterpillar,"Carle, Eric",201233,659,3701.27,5.6165,7.99,Hardback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational"
2012-08-18,9780722532935,The Alchemist,"Coelho, Paulo",201233,463,3148.45,6.8001,9.99,Paperback,Thorsons,HarperCollins Grp,F1.1 General & Literary Fiction,F Adult Fiction
2012-08-25,9780722532935,The Alchemist,"Coelho, Paulo",201234,424,2860.86,6.7473,9.99,Paperback,Thorsons,HarperCollins Grp,F1.1 General & Literary Fiction,F Adult Fiction
2012-08-25,9780241003008,The Very Hungry Caterpillar,"Carle, Eric",201234,718,4081.1,5.684,7.99,Hardback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational"
2012-09-01,9780722532935,The Alchemist,"Coelho, Paulo",201235,522,3414.42,6.541,9.99,Paperback,Thorsons,HarperCollins Grp,F1.1 General & Literary Fiction,F Adult Fiction
